,days,Cases,Everyday Cases,Everylog,Deaths,Recovered
0,0,3,3,0.477121255,0,3
1,1,3,0,0,0,3
2,2,3,0,0,0,3
3,3,3,0,0,0,3
4,4,3,0,0,0,3
5,5,3,0,0,0,3
6,6,3,0,0,0,3
7,7,3,0,0,0,3
8,8,3,0,0,0,3
9,9,3,0,0,0,3
10,10,3,0,0,0,3
11,11,5,2,0.301029996,0,3
12,12,5,0,0,0,3
13,13,28,23,1.361727836,0,3
14,14,30,2,0.301029996,0,3
15,15,31,1,0,0,3
16,16,34,3,0.477121255,0,3
17,17,39,5,0.698970004,0,3
18,18,43,4,0.602059991,0,3
19,19,56,13,1.113943352,0,4
20,20,62,6,0.77815125,1,4
21,21,73,11,1.041392685,1,4
22,22,82,9,0.954242509,2,4
23,23,102,20,1.301029996,2,4
24,24,113,11,1.041392685,2,13
25,25,119,6,0.77815125,2,13
26,26,142,23,1.361727836,3,14
27,27,156,14,1.146128036,3,14
28,28,194,38,1.579783597,4,15
29,29,244,50,1.698970004,5,20
30,30,330,86,1.934498451,4,23
31,31,396,66,1.819543936,7,27
32,32,499,103,2.012837225,10,27
33,33,536,37,1.568201724,10,40
34,34,657,121,2.08278537,12,43
35,35,727,70,1.84509804,20,45
36,36,887,160,2.204119983,20,73
37,37,987,100,2,24,84
38,38,1024,37,1.568201724,27,95
39,39,1251,227,2.356025857,32,102
40,40,1397,146,2.164352856,35,123
41,41,1998,601,2.778874472,58,148
42,42,2543,545,2.736396502,72,191
43,43,2567,24,1.380211242,72,192
44,44,3082,515,2.711807229,86,229
45,45,3588,506,2.704150517,99,229
46,46,4778,1190,3.075546961,136,375
47,47,5311,533,2.726727209,150,421
48,48,5916,605,2.781755375,178,506
49,49,6725,809,2.907948522,226,620
50,50,7598,873,2.941014244,246,774
51,51,8446,848,2.928395852,288,969
52,52,9205,759,2.880241776,331,1080
53,53,10453,1248,3.096214585,358,1181
54,54,11487,1034,3.014520539,393,1359
